datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score
2024-09-20,1726815600.0,94.6,82.5,87.9,89.9,80.1,84.4,35.5,15.8,0.004,6.5,4.17,['rain'],0.0,0.0,15.4,9.8,238.1,1007.4,92.0,15.0,175.8,15.3,6.0,10.0,06:15:30,1726838130.0,18:27:01,1726882021.0,0.59,Overcast,Cloudy skies throughout the day.,cloudy,,fcst,Phoenix,12.100000000000000,84.20944151646410,2.7404,,9.0,Fall,Friday,FALSE,8.853927351646410
2024-09-21,1726902000.0,93.6,77.4,85.8,89.0,77.4,83.1,28.7,13.7,0.0,3.2,0.0,,0.0,0.0,14.1,9.2,271.6,1009.3,1.8,15.0,268.6,23.3,9.0,10.0,06:16:10,1726924570.0,18:25:39,1726968339.0,0.63,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,16.20000000000000,82.48084148677610,3.21,0.0,9.0,Fall,Saturday,TRUE,8.687854148677610
2024-09-07,1725692400.0,89.0,62.1,73.3,88.6,62.1,73.3,59.8,66.3,0.0,0.0,0.0,,0.0,0.0,16.1,9.2,311.1,1012.2,12.0,10.0,267.7,23.4,9.0,10.0,06:43:31,1725716611.0,19:26:34,1725762394.0,0.16,Clear,Clear conditions throughout the day.,clear-day,"['KSJC', 'KLVK', 'E6873', 'KHWD', 'KWVI', 'KOAK']",comb,San Jose,26.9,75.84249614266140,3.41,0.0,9.0,Fall,Saturday,TRUE,9.845079614266140
2024-09-08,1725778800.0,89.0,60.0,72.4,87.9,60.0,72.3,57.6,62.5,0.0,0.0,0.0,,0.0,0.0,13.9,8.1,310.2,1012.1,15.6,9.8,279.0,24.1,9.0,10.0,06:44:20,1725803060.0,19:25:03,1725848703.0,0.19,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,29.0,75.92701658370010,3.1900000000000000,0.0,9.0,Fall,Sunday,TRUE,9.586451658370010
2024-09-09,1725865200.0,88.1,63.1,73.1,87.4,63.1,73.0,57.4,59.9,0.0,0.0,0.0,,0.0,0.0,16.1,9.2,296.7,1013.0,11.0,10.1,311.5,27.0,9.0,10.0,06:45:10,1725889510.0,19:23:32,1725935012.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,25.000000000000000,76.45640756034120,3.41,0.0,9.0,Fall,Monday,FALSE,9.688230756034120
2024-09-10,1725951600.0,79.4,59.6,67.8,79.4,59.6,67.8,57.2,70.7,0.0,0.0,0.0,,0.0,0.0,17.4,9.8,290.2,1012.5,18.8,12.4,274.7,23.8,9.0,10.0,06:45:59,1725975959.0,19:22:01,1726021321.0,0.25,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,19.800000000000000,73.51643181157600,3.54,0.0,9.0,Fall,Tuesday,FALSE,9.8544231811576
2024-09-11,1726038000.0,77.3,57.6,66.3,77.3,57.6,66.3,56.8,73.1,0.0,4.0,0.0,,0.0,0.0,23.0,13.4,273.9,1009.6,17.3,15.0,264.0,22.6,8.0,10.0,06:46:48,1726062408.0,19:20:29,1726107629.0,0.29,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,19.7,72.90603255502890,3.9,0.0,9.0,Fall,Wednesday,FALSE,10.141503255502900
2024-09-12,1726124400.0,79.2,57.8,67.4,79.2,57.8,67.4,55.6,68.3,0.0,5.0,0.0,,0.0,0.0,17.9,10.7,285.8,1007.0,14.2,15.0,262.2,22.6,8.0,10.0,06:47:38,1726148858.0,19:18:57,1726193937.0,0.32,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.40000000000000,74.30085574530420,3.39,0.0,9.0,Fall,Thursday,FALSE,9.745455574530410
2024-09-13,1726210800.0,83.2,58.9,69.6,82.2,58.9,69.5,54.2,60.5,0.0,0.0,0.0,,0.0,0.0,16.1,8.9,287.5,1007.4,5.9,15.0,263.2,22.5,8.0,10.0,06:48:27,1726235307.0,19:17:25,1726280245.0,0.36,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,24.300000000000000,75.81915810730020,3.21,0.0,9.0,Fall,Friday,FALSE,9.523965810730020
2024-09-14,1726297200.0,81.4,59.4,68.8,81.3,59.4,68.8,55.5,64.2,0.0,1.0,0.0,,0.0,0.0,16.6,9.8,263.1,1010.3,8.9,14.9,259.1,22.3,8.0,10.0,06:49:17,1726321757.0,19:15:53,1726366553.0,0.39,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,22.000000000000000,75.16348200137600,3.26,0.0,9.0,Fall,Saturday,TRUE,9.609268200137600
2024-09-15,1726383600.0,78.3,59.8,66.8,78.3,59.8,66.8,47.3,52.9,0.0,3.2,0.0,,0.0,0.0,9.8,8.9,256.5,1011.5,3.1,14.9,255.1,22.0,8.0,10.0,06:50:06,1726408206.0,19:14:21,1726452861.0,0.42,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,18.5,77.56033359368410,2.58,0.0,9.0,Fall,Sunday,TRUE,9.12085335936841
2024-09-16,1726470000.0,81.2,59.3,68.9,79.6,59.3,68.6,44.4,43.5,0.0,0.0,0.0,,0.0,0.0,7.8,8.1,287.5,1010.1,8.6,15.0,249.6,21.7,8.0,10.0,06:50:56,1726494656.0,19:12:49,1726539169.0,0.46,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.90000000000000,77.26954857032500,2.38,0.0,9.0,Fall,Monday,FALSE,8.762254857032500
2024-09-17,1726556400.0,82.3,60.9,68.5,80.2,60.9,68.4,46.6,47.6,0.0,0.0,0.0,,0.0,0.0,8.5,10.3,279.9,1009.1,14.2,14.9,245.6,21.3,8.0,10.0,06:51:45,1726581105.0,19:11:16,1726625476.0,0.5,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.4,77.32153682110010,2.45,0.0,9.0,Fall,Tuesday,FALSE,8.898353682110020
2024-09-18,1726642800.0,76.9,57.6,64.9,76.9,57.6,64.9,49.2,58.3,0.0,0.0,0.0,,0.0,0.0,9.2,10.7,277.8,1011.5,20.0,14.9,241.5,20.9,8.0,10.0,06:52:35,1726667555.0,19:09:44,1726711784.0,0.52,Clear,Becoming cloudy in the afternoon.,clear-day,,fcst,San Jose,19.300000000000000,77.801748442029,2.52,0.0,9.0,Fall,Wednesday,FALSE,9.2493348442029
2024-09-19,1726729200.0,75.5,57.6,64.7,75.5,57.6,64.7,48.5,57.7,0.0,3.2,0.0,,0.0,0.0,8.3,8.7,290.8,1012.7,0.1,14.8,240.3,20.9,8.0,10.0,06:53:25,1726754005.0,19:08:11,1726798091.0,0.56,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,17.9,78.03617693414110,2.43,0.0,9.0,Fall,Thursday,FALSE,9.205727693414110
2024-09-20,1726815600.0,80.5,59.3,67.1,79.6,59.3,67.0,49.8,56.1,0.0,0.0,0.0,,0.0,0.0,9.8,10.3,278.8,1011.0,0.4,14.9,237.6,20.6,8.0,10.0,06:54:15,1726840455.0,19:06:39,1726884399.0,0.59,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.200000000000000,77.05373333982110,2.58,0.0,9.0,Fall,Friday,FALSE,9.152753333982110
2024-09-21,1726902000.0,76.4,61.4,67.4,76.4,61.4,67.4,54.6,64.9,0.0,0.0,0.0,,0.0,0.0,11.2,10.5,296.3,1012.5,59.0,14.9,220.3,18.9,8.0,10.0,06:55:05,1726926905.0,19:05:06,1726970706.0,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Jose,15.000000000000000,75.22822184661620,2.72,,9.0,Fall,Saturday,TRUE,9.288102184661620
2024-09-07,1725685200.0,92.0,73.4,81.7,90.3,73.4,81.6,60.3,51.1,0.0,1.0,0.0,,0.0,0.0,28.9,18.3,28.4,1014.5,7.3,10.0,282.7,24.3,9.0,10.0,07:14:53,1725711293.0,19:48:16,1725756496.0,0.15,Clear,Clear conditions throughout the day.,clear-day,"['KSKF', 'KSSF', 'KSAT', 'F6098']",comb,San Antonio,18.600000000000000,82.6036417074691,4.69,0.0,9.0,Fall,Saturday,TRUE,10.656954170746900
2024-09-08,1725771600.0,87.0,65.9,76.4,84.2,65.9,75.7,50.9,42.5,0.0,0.0,0.0,,0.0,0.0,23.0,13.9,31.1,1015.8,3.6,10.1,309.5,26.6,10.0,10.0,07:15:25,1725797725.0,19:47:04,1725842824.0,0.19,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Antonio,21.100000000000000,78.07182759970020,4.3,0.0,9.0,Fall,Sunday,TRUE,9.634682759970020
2024-09-09,1725858000.0,88.1,63.9,75.9,85.7,63.9,75.4,52.0,44.5,0.0,5.0,0.0,,0.0,0.0,19.5,11.4,36.7,1016.8,16.4,10.1,343.4,29.5,9.0,10.0,07:15:56,1725884156.0,19:45:51,1725929151.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Antonio,24.2,77.92671675952510,3.75,0.0,9.0,Fall,Monday,FALSE,9.461421675952510
2024-09-10,1725944400.0,88.8,70.4,79.2,90.5,70.4,80.0,59.4,51.3,0.06,26.0,20.83,['rain'],0.0,0.0,19.5,10.7,42.2,1013.5,38.9,12.1,290.4,25.0,9.0,10.0,07:16:26,1725970586.0,19:44:38,1726015478.0,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,18.40000000000000,80.225407608356,3.756,,9.0,Fall,Tuesday,FALSE,9.9493687608356
